mat_row_no,mat_col_no,conv_row_no,conv_col_no,p,runner,t1,t2
1000,1000,3,3,16,mpi_v2,0.024561,0.008858
1000,1000,3,3,16,mpi_v2,0.0345,0.01061
1000,1000,3,3,16,mpi_v2,0.030309,0.009707
1000,1000,3,3,16,mpi_v2,0.038838,0.013086
1000,1000,3,3,16,mpi_v2,0.034276,0.008178
1000,1000,3,3,16,mpi_v2,0.026638,0.0084
1000,1000,3,3,16,mpi_v2,0.039607,0.019503
10000,10000,3,3,4,mpi_v2,1.740021,0.685524
10000,10000,3,3,4,mpi_v2,1.771858,0.683995
10000,10000,3,3,4,mpi_v2,1.76401,0.690911
10000,10000,3,3,4,mpi_v2,1.79229,0.693018
10000,10000,3,3,4,mpi_v2,1.783546,0.687686
10000,10000,3,3,4,mpi_v2,1.768125,0.684684
10000,10000,3,3,4,mpi_v2,1.7856,0.686986
10000,10000,3,3,4,mpi_v2,2.115348,0.697783
10000,10000,3,3,4,mpi_v2,2.290552,0.776172
10000,10000,3,3,4,mpi_v2,2.297801,0.765585
10000,10000,3,3,8,mpi_v2,2.993036,1.108403
10000,10000,3,3,8,mpi_v2,3.015194,1.194798
10000,10000,3,3,8,mpi_v2,2.970303,1.129902
10000,10000,3,3,8,mpi_v2,3.038969,1.211841
10000,10000,3,3,8,mpi_v2,3.060694,1.226766
10000,10000,3,3,8,mpi_v2,3.183973,1.344513
10000,10000,3,3,8,mpi_v2,2.999374,1.183684
10000,10000,3,3,8,mpi_v2,3.0788,1.238224
10000,10000,3,3,8,mpi_v2,3.029492,1.235062
10000,10000,3,3,8,mpi_v2,3.074564,1.22721
10000,10000,3,3,16,mpi_v2,3.85222,1.044147
10000,10000,3,3,16,mpi_v2,4.158878,1.045933
10000,10000,3,3,16,mpi_v2,3.600191,1.003666
10000,10000,3,3,16,mpi_v2,3.510374,0.82862
10000,10000,3,3,16,mpi_v2,3.511758,0.731879
10000,10000,3,3,16,mpi_v2,3.503771,1.0284
10000,10000,3,3,16,mpi_v2,3.340743,0.951188
10000,10000,3,3,16,mpi_v2,3.80264,1.038159
10000,10000,3,3,16,mpi_v2,4.43582,1.107869
10000,10000,3,3,16,mpi_v2,3.728218,1.01589
