=== CERERI IN ASTEPTARE ===
=== CERERI EFECTUATE ===
1707297130839 97 sosire locatie
1707297130849 36 sosire locatie
1707297130855 67 sosire locatie
1707297130853 16 plecare locatie
1707297130856 68 sosire locatie
1707297130858 14 plecare locatie
1707297130860 23 plecare locatie
1707297130865 56 sosire locatie
1707297130871 11 sosire locatie
1707297130878 96 plecare locatie
1707297130879 54 plecare locatie
1707297130879 55 plecare locatie
1707297130885 3 sosire locatie
1707297130894 20 sosire locatie
1707297130894 70 sosire locatie
1707297130903 67 plecare locatie
1707297130904 10 plecare locatie
1707297130906 55 plecare locatie
1707297130911 73 sosire locatie
1707297130912 99 sosire locatie
1707297130916 9 sosire locatie
1707297130915 85 plecare locatie
1707297130924 5 sosire locatie
1707297130929 62 plecare locatie
1707297130929 34 plecare locatie
1707297130929 31 plecare locatie
1707297130930 59 sosire locatie
1707297130939 76 plecare locatie
1707297130941 32 sosire locatie
1707297130940 79 plecare locatie
1707297130943 71 sosire locatie
1707297130946 59 plecare locatie
1707297130945 90 sosire locatie
1707297130954 46 sosire locatie
1707297130957 53 plecare locatie
1707297130962 24 sosire locatie
1707297130964 14 sosire locatie
1707297130967 39 plecare locatie
1707297130966 75 plecare locatie
1707297130973 85 sosire locatie
1707297130976 79 plecare locatie
1707297130975 3 plecare locatie
1707297130986 68 sosire locatie
1707297130991 82 sosire locatie
1707297130988 37 plecare locatie
1707297130989 99 sosire locatie
1707297130993 94 plecare locatie
1707297131000 7 sosire locatie
1707297131003 80 plecare locatie
1707297131002 39 plecare locatie
1707297131007 35 plecare locatie
1707297131009 98 sosire locatie
1707297131011 91 sosire locatie
1707297131020 95 sosire locatie
1707297131023 17 plecare locatie
1707297131030 51 plecare locatie
1707297131027 61 plecare locatie
1707297131030 67 sosire locatie
1707297131042 82 sosire locatie
1707297131043 3 plecare locatie
1707297131041 41 sosire locatie
1707297131045 43 plecare locatie
1707297131046 76 sosire locatie
1707297131049 49 plecare locatie
1707297131062 66 sosire locatie
1707297131062 75 plecare locatie
1707297131067 72 sosire locatie
1707297131068 72 sosire locatie
1707297131072 40 plecare locatie
1707297131071 54 plecare locatie
1707297131077 25 sosire locatie
1707297131084 75 plecare locatie
1707297131084 55 sosire locatie
1707297131090 27 sosire locatie
1707297131092 27 plecare locatie
1707297131093 44 sosire locatie
1707297131101 89 sosire locatie
1707297131103 100 plecare locatie
1707297131109 30 sosire locatie
1707297131111 97 plecare locatie
1707297131119 65 plecare locatie
1707297131117 96 sosire locatie
1707297131120 37 sosire locatie
1707297131132 80 plecare locatie
1707297131133 3 sosire locatie
1707297131138 92 plecare locatie
1707297131139 9 plecare locatie
1707297131145 41 sosire locatie
1707297131147 74 sosire locatie
1707297131150 58 plecare locatie
1707297131160 99 sosire locatie
1707297131162 85 plecare locatie
1707297131164 71 sosire locatie
1707297131163 44 sosire locatie
1707297131166 7 plecare locatie
1707297131167 95 plecare locatie
1707297131172 68 plecare locatie
1707297131175 92 sosire locatie
1707297131179 95 sosire locatie
1707297131182 69 plecare locatie
1707297131184 28 sosire locatie
1707297131182 0 plecare locatie
1707297131185 19 plecare locatie
1707297131191 55 sosire locatie
1707297131193 4 plecare locatie
1707297131198 83 plecare locatie
1707297131203 6 sosire locatie
1707297131210 39 sosire locatie
1707297131213 34 plecare locatie
1707297131216 86 plecare locatie
1707297131213 64 sosire locatie
1707297131214 34 sosire locatie
1707297131213 13 plecare locatie
1707297131228 79 plecare locatie
1707297131228 37 plecare locatie
1707297131229 44 plecare locatie
1707297131240 18 sosire locatie
1707297131238 2 sosire locatie
1707297131243 58 sosire locatie
1707297131248 87 plecare locatie
1707297131251 12 plecare locatie
1707297131255 93 plecare locatie
1707297131261 21 plecare locatie
1707297131265 19 sosire locatie
1707297131266 42 plecare locatie
1707297131269 37 sosire locatie
1707297131270 14 sosire locatie
1707297131278 35 plecare locatie
1707297131280 11 plecare locatie
1707297131286 70 sosire locatie
1707297131290 13 plecare locatie
1707297131287 66 sosire locatie
1707297131293 47 plecare locatie
1707297131293 77 sosire locatie
1707297131305 18 sosire locatie
1707297131306 27 plecare locatie
1707297131304 41 plecare locatie
1707297131308 42 sosire locatie
1707297131311 47 sosire locatie
1707297131318 49 plecare locatie
1707297131319 4 sosire locatie
1707297131319 40 sosire locatie
1707297131321 80 plecare locatie
1707297131336 56 plecare locatie
1707297131333 84 plecare locatie
1707297131337 17 plecare locatie
1707297131339 52 sosire locatie
1707297131344 58 sosire locatie
1707297131345 84 sosire locatie
1707297131350 22 plecare locatie
1707297131358 44 plecare locatie
1707297131355 93 plecare locatie
1707297131364 46 sosire locatie
1707297131364 91 sosire locatie
1707297131366 8 plecare locatie
1707297131371 8 plecare locatie
1707297131373 85 sosire locatie
1707297131374 77 sosire locatie
1707297131378 67 plecare locatie
1707297131385 44 sosire locatie
1707297131389 80 plecare locatie
1707297131394 62 plecare locatie
1707297131393 87 sosire locatie
1707297131395 65 sosire locatie
1707297131393 60 plecare locatie
1707297131400 88 sosire locatie
1707297131405 32 plecare locatie
1707297131412 78 sosire locatie
1707297131411 94 sosire locatie
1707297131410 30 plecare locatie
1707297131418 78 sosire locatie
1707297131422 0 plecare locatie
1707297131428 23 sosire locatie
1707297131429 64 plecare locatie
1707297131429 68 plecare locatie
1707297131434 79 sosire locatie
1707297131440 60 plecare locatie
1707297131443 68 sosire locatie
1707297131448 43 plecare locatie
1707297131452 86 plecare locatie
1707297131452 42 sosire locatie
1707297131455 42 plecare locatie
1707297131457 26 sosire locatie
1707297131465 19 plecare locatie
1707297131471 62 sosire locatie
1707297131469 86 sosire locatie
1707297131474 52 plecare locatie
1707297131474 22 plecare locatie
1707297131478 26 sosire locatie
1707297131481 60 plecare locatie
1707297131481 50 sosire locatie
1707297131488 54 plecare locatie
1707297131488 79 sosire locatie
1707297131501 93 plecare locatie
1707297131496 26 sosire locatie
1707297131500 58 plecare locatie
1707297131505 37 plecare locatie
1707297131508 81 sosire locatie
1707297131512 48 sosire locatie
1707297131517 75 sosire locatie
1707297131522 72 plecare locatie
1707297131524 92 plecare locatie
1707297131530 29 sosire locatie
1707297131532 59 plecare locatie
1707297131533 2 plecare locatie
1707297131536 83 sosire locatie
1707297131547 52 sosire locatie
1707297131549 62 plecare locatie
1707297131553 28 plecare locatie
1707297131554 3 sosire locatie
1707297131557 71 sosire locatie
1707297131561 85 plecare locatie
1707297131564 30 sosire locatie
1707297131564 54 plecare locatie
1707297131566 29 plecare locatie
1707297131573 19 sosire locatie
1707297131577 92 plecare locatie
1707297131575 36 sosire locatie
1707297131581 39 plecare locatie
1707297131581 12 plecare locatie
1707297131587 98 sosire locatie
1707297131592 19 sosire locatie
1707297131592 57 plecare locatie
1707297131594 28 sosire locatie
1707297131592 68 plecare locatie
1707297131597 78 plecare locatie
1707297131608 95 sosire locatie
1707297131611 92 sosire locatie
1707297131612 43 plecare locatie
1707297131615 13 plecare locatie
1707297131617 12 plecare locatie
1707297131623 39 sosire locatie
1707297131627 88 sosire locatie
1707297131627 18 plecare locatie
1707297131638 59 plecare locatie
1707297131635 2 sosire locatie
1707297131639 40 plecare locatie
1707297131640 70 sosire locatie
1707297131640 42 plecare locatie
1707297131650 99 sosire locatie
1707297131655 19 sosire locatie
1707297131656 7 plecare locatie
1707297131661 74 sosire locatie
1707297131663 33 plecare locatie
1707297131666 15 plecare locatie
1707297131665 67 sosire locatie
1707297131672 6 plecare locatie
1707297131673 24 sosire locatie
1707297131683 41 sosire locatie
1707297131684 11 plecare locatie
1707297131686 92 plecare locatie
1707297131691 4 plecare locatie
1707297131692 75 sosire locatie
1707297131696 17 sosire locatie
1707297131699 14 sosire locatie
1707297131702 28 plecare locatie
1707297131702 52 plecare locatie
1707297131706 73 plecare locatie
1707297131708 46 sosire locatie
1707297131719 99 plecare locatie
1707297131717 23 sosire locatie
1707297131719 64 plecare locatie
1707297131721 1 sosire locatie
1707297131730 92 plecare locatie
1707297131737 9 sosire locatie
1707297131736 0 plecare locatie
1707297131736 54 sosire locatie
1707297131745 74 plecare locatie
1707297131749 31 sosire locatie
1707297131749 67 plecare locatie
1707297131757 81 plecare locatie
1707297131761 88 plecare locatie
1707297131759 92 sosire locatie
1707297131762 21 sosire locatie
1707297131769 24 sosire locatie
1707297131772 54 plecare locatie
1707297131772 92 sosire locatie
1707297131777 39 plecare locatie
1707297131782 28 sosire locatie
1707297131784 92 plecare locatie
1707297131791 43 sosire locatie
1707297131796 22 plecare locatie
1707297131797 23 plecare locatie
1707297131798 50 sosire locatie
1707297131806 19 sosire locatie
1707297131809 92 sosire locatie
1707297131815 48 plecare locatie
1707297131812 98 plecare locatie
1707297131822 73 sosire locatie
1707297131826 44 sosire locatie
1707297131823 21 plecare locatie
1707297131834 86 sosire locatie
1707297131841 0 plecare locatie
1707297131842 20 plecare locatie
1707297131851 64 sosire locatie
1707297131853 41 sosire locatie
1707297131853 19 plecare locatie
1707297131856 35 sosire locatie
1707297131856 35 plecare locatie
1707297131860 6 plecare locatie
1707297131862 14 sosire locatie
1707297131867 50 plecare locatie
1707297131871 47 sosire locatie
1707297131876 87 plecare locatie
1707297131878 41 sosire locatie
1707297131879 73 sosire locatie
1707297131889 66 sosire locatie
1707297131889 6 plecare locatie
1707297131889 68 plecare locatie
1707297131900 23 sosire locatie
1707297131897 63 plecare locatie
1707297131908 49 sosire locatie
1707297131909 14 sosire locatie
1707297131913 39 plecare locatie
1707297131916 65 plecare locatie
1707297131924 43 sosire locatie
1707297131925 28 plecare locatie
1707297131932 27 sosire locatie
1707297131933 66 sosire locatie
1707297131934 94 plecare locatie
1707297131934 37 plecare locatie
1707297131938 38 sosire locatie
1707297131948 38 plecare locatie
1707297131950 25 sosire locatie
1707297131955 18 plecare locatie
1707297131958 71 plecare locatie
1707297131963 100 sosire locatie
1707297131965 33 sosire locatie
1707297131968 53 plecare locatie
1707297131973 86 plecare locatie
1707297131977 48 sosire locatie
1707297131977 49 sosire locatie
1707297131980 87 plecare locatie
1707297131983 92 plecare locatie
1707297131986 58 plecare locatie
1707297131995 81 plecare locatie
1707297131990 95 sosire locatie
1707297132000 2 sosire locatie
1707297132002 72 sosire locatie
1707297132004 51 plecare locatie
1707297132001 41 sosire locatie
1707297132008 99 plecare locatie
1707297132009 50 plecare locatie
1707297132017 74 plecare locatie
1707297132014 87 sosire locatie
1707297132016 87 sosire locatie
1707297132022 31 plecare locatie
1707297132022 58 sosire locatie
1707297132029 80 plecare locatie
1707297132029 76 sosire locatie
1707297132036 87 plecare locatie
1707297132037 64 sosire locatie
1707297132040 18 sosire locatie
1707297132048 60 plecare locatie
1707297132054 60 sosire locatie
1707297132051 23 plecare locatie
1707297132056 50 sosire locatie
1707297132059 100 sosire locatie
1707297132066 56 plecare locatie
1707297132071 82 plecare locatie
1707297132072 53 sosire locatie
1707297132076 13 plecare locatie
1707297132075 40 sosire locatie
1707297132082 82 plecare locatie
1707297132089 54 sosire locatie
1707297132092 33 plecare locatie
1707297132100 22 sosire locatie
1707297132100 39 plecare locatie
1707297132100 47 sosire locatie
1707297132100 63 sosire locatie
1707297132105 90 plecare locatie
1707297132110 98 plecare locatie
1707297132122 73 plecare locatie
1707297132121 100 sosire locatie
1707297132127 44 sosire locatie
1707297132127 2 sosire locatie
1707297132130 89 plecare locatie
1707297132133 5 plecare locatie
1707297132140 73 plecare locatie
1707297132139 8 sosire locatie
1707297132139 44 sosire locatie
1707297132154 12 sosire locatie
1707297132151 65 sosire locatie
1707297132158 4 plecare locatie
1707297132159 53 plecare locatie
1707297132156 32 sosire locatie
1707297132160 35 plecare locatie
1707297132167 55 sosire locatie
1707297132171 12 plecare locatie
1707297132168 4 sosire locatie
1707297132180 69 plecare locatie
1707297132184 83 sosire locatie
1707297132186 98 sosire locatie
1707297132189 52 plecare locatie
1707297132198 28 plecare locatie
1707297132197 53 sosire locatie
1707297132199 3 sosire locatie
1707297132199 26 plecare locatie
1707297132209 58 plecare locatie
1707297132212 35 sosire locatie
1707297132215 51 plecare locatie
1707297132217 97 sosire locatie
1707297132221 30 plecare locatie
1707297132225 11 sosire locatie
1707297132230 74 plecare locatie
1707297132236 74 plecare locatie
1707297132239 20 sosire locatie
1707297132240 93 sosire locatie
1707297132242 32 sosire locatie
1707297132251 55 plecare locatie
1707297132252 89 plecare locatie
1707297132255 60 sosire locatie
1707297132258 88 sosire locatie
1707297132260 86 plecare locatie
1707297132265 61 sosire locatie
1707297132273 23 plecare locatie
1707297132271 58 sosire locatie
